Corridor_ID,Region,Length_km,Width_km,Connectivity_Score,Forest_Cover_%,Species_Richness,Endangered_Species,Human_Pressure_Index,Protection_Level,Illegal_Activity_Reports,Community_Involvement,Restoration_Projects,Year_Established,Monitoring_Frequency
116,Amazon,20.113464232696472,4.400434841569526,0.6268907447638986,42.445651065684146,53,37,0.9504143204327478,Strict,1,Medium,Yes,2001,Monthly
117,Amazon,47.59158480189477,3.216692299470132,0.5060427997765388,77.20817539736397,197,42,0.8567860732618267,Moderate,1,Low,No,2014,Monthly
118,Cerrado,24.216359904262642,4.97035516615024,0.7696283549694556,21.81949913774612,163,6,0.9856544116412534,Strict,5,High,No,1997,Yearly
119,Amazon,143.39710961847854,1.7401524483599655,0.17815564567292075,69.53820695978517,407,30,0.6393462796235975,Moderate,2,High,Yes,2009,Quarterly
120,Atlantic,60.496327277424015,3.2533834855004122,0.8473321379664329,89.44829705927522,149,21,0.24089231798841804,Strict,1,Low,No,1999,Monthly
121,Pantanal,30.118139819038618,2.1800049386537084,0.6185519715804705,23.49721336981083,29,24,0.1671329873692039,Moderate,0,High,Yes,2014,Quarterly
122,Amazon,95.24335389706752,3.273017026516848,0.2033134624555658,43.25553423823028,491,45,0.6022653988232091,Low,0,Low,No,2019,Monthly
123,Atlantic,62.7434359880774,1.3728688217047735,0.05650012288259787,36.63590709108945,300,41,0.3588798956206597,Moderate,0,Low,No,2001,Monthly
124,Pantanal,36.60457454375104,1.9741348423238807,0.9819621351101177,99.84768588875994,374,3,0.13124322476760875,Moderate,0,Medium,No,1997,Quarterly
125,Amazon,13.36235003038511,4.667925483445503,0.4439648363681945,98.84994689890871,223,32,0.7972638893210963,Strict,1,Medium,Yes,2012,Monthly
126,Pantanal,18.407834883958806,1.516392741709137,0.2675828430541336,29.94574907145072,72,35,0.34978794838780614,Strict,1,Medium,Yes,2006,Yearly
127,Cerrado,86.68105878374779,3.1414478111878212,0.18028888051959213,35.5816228611122,495,25,0.4451684698868067,Strict,2,Low,Yes,1993,Yearly
128,Cerrado,113.8001889971098,4.601084773355617,0.24420434114104506,21.837029854813068,154,28,0.6117856628733538,Strict,0,Medium,Yes,1990,Yearly
129,Amazon,139.23879974988472,2.457001005250474,0.48973794482107325,65.29840869797556,421,46,0.4019943686887335,Low,0,Low,No,1997,Yearly
130,Amazon,89.8879337449979,3.5059575864843544,0.8529051268852343,74.86747570540334,224,5,0.8662698131193453,Strict,1,Medium,No,2022,Yearly
131,Cerrado,99.6435267063522,3.7654357322384304,0.20848600704039355,72.36064442343248,345,18,0.9824215385461159,Low,0,Medium,Yes,2014,Quarterly
132,Pantanal,40.08797956260722,2.7661383028276547,0.36819383980750175,40.79953050209697,96,49,0.385271689344845,Strict,0,Low,No,2018,Yearly
133,Atlantic,44.782657899159595,1.9566550101558984,0.7972791917706833,36.263905738154854,430,24,0.17837649939572808,Moderate,0,Medium,Yes,2017,Monthly
134,Cerrado,65.54682463811234,4.061287617916739,0.6643964826753818,24.45922884518567,251,9,0.2781247601127621,Moderate,2,Low,Yes,1992,Yearly
135,Amazon,130.96657185517523,2.8151738940201527,0.028704827555706358,70.61289352878458,493,35,0.6739587033730637,Moderate,2,High,No,1991,Quarterly
136,Cerrado,68.12569554532311,0.6690727006473488,0.25030481809054794,39.640023455271695,288,47,0.0822757841603301,Strict,2,Low,No,2005,Monthly
137,Cerrado,39.747004105467006,4.385268726161746,0.12739963540396249,27.0973790316795,232,42,0.674616046165422,Low,1,Low,No,2022,Monthly
138,Amazon,138.3271525456299,1.5574797309386024,0.041294609377412805,48.360989061870576,152,9,0.5276590260993963,Moderate,0,Medium,No,1996,Quarterly
139,Atlantic,64.65816592477117,2.5178649891429594,0.9471873519855915,31.877492113104424,406,15,0.045354753967570605,Moderate,0,High,No,2012,Monthly
140,Amazon,16.52899211052435,1.1476517942790128,0.6209942475750025,60.49946711055645,407,14,0.4107155960342662,Low,1,High,No,2020,Quarterly
141,Amazon,84.09388717049889,2.514028961087365,0.541778497054587,31.929467904181614,479,48,0.23057408496971177,Low,2,Low,Yes,2007,Quarterly
142,Cerrado,95.83316640102599,0.7333378867707441,0.8600797412719182,99.0867515319569,402,33,0.13019560753548232,Low,0,Medium,No,2009,Monthly
143,Atlantic,143.5306904488476,2.8746884966768596,0.5914739422169932,46.84528718687906,145,45,0.9409026071283768,Moderate,1,High,Yes,1997,Quarterly
144,Pantanal,121.95680737956569,2.661623767358675,0.5776875393823575,57.99147162805458,471,39,0.2910305411513051,Low,1,Low,No,2019,Quarterly
145,Cerrado,19.6614036825289,4.11022823273261,0.20189706801632146,67.73100840751323,126,14,0.49405699419146076,Strict,1,Medium,Yes,2002,Yearly
146,Pantanal,79.22912809409105,2.8435076230601495,0.6203885649895984,88.05048581926526,80,0,0.6120446260091909,Strict,1,Low,Yes,2019,Monthly
147,Pantanal,67.94650644599099,2.102844999538967,0.6680026245780745,95.8371971211876,332,5,0.6289602285342734,Strict,2,High,No,2009,Yearly
148,Pantanal,62.0493284243071,2.3850453742005495,0.8813693793386274,49.35704251281805,365,18,0.38140082271982356,Strict,1,Medium,Yes,1999,Quarterly
149,Amazon,25.272911311711137,3.063197648106777,0.4253414118168216,53.882933553663584,32,42,0.2695173162395811,Strict,0,High,No,2017,Monthly
150,Atlantic,59.423958748790966,4.213933314804341,0.2039260790250479,32.07697496485744,90,5,0.5648928738728664,Strict,0,Low,Yes,2008,Monthly
151,Amazon,73.16301063669954,0.3044830255968968,0.569272809900136,35.17190503354812,306,3,0.7946711043644239,Strict,1,High,No,1991,Monthly
152,Atlantic,36.736614604783355,4.640313197624824,0.9725574470665842,77.7774173464997,98,9,0.8949925090038836,Moderate,0,Medium,Yes,2016,Monthly
153,Amazon,88.49908220988733,0.511023298595263,0.0753059387818773,54.82218182905892,352,42,0.5914858598889131,Strict,2,High,No,2002,Monthly
154,Pantanal,37.085836788211004,1.7890303434651,0.003472238061101307,87.38144932232503,468,39,0.528796718067563,Low,1,High,No,2001,Yearly
155,Pantanal,22.59114696455512,1.7472785184189,0.0359140934767711,62.331665626321254,297,8,0.9659127442655364,Moderate,2,Medium,No,2021,Yearly
156,Pantanal,147.6778525722488,2.7055660466723723,0.8313483728419079,42.616171245171294,382,0,0.20307025205460116,Moderate,1,Low,No,2006,Yearly
157,Cerrado,104.81814564737934,1.8378407415167997,0.0011216542938590202,74.34466613825653,202,16,0.016821191230326216,Strict,1,Medium,Yes,2010,Quarterly
158,Pantanal,91.24572452729649,1.1744238083623586,0.22155154207741656,57.82114413083122,36,40,0.49252045261617017,Strict,0,Low,Yes,2022,Monthly
159,Amazon,52.488052387128036,1.292777929258107,0.9815303507554609,91.21784550325242,485,27,0.057928929197170076,Moderate,3,Low,No,2013,Monthly
160,Cerrado,35.209308800962845,4.927945329754971,0.7458256486845294,49.747573468236155,496,48,0.05919205229740032,Strict,2,High,No,2005,Yearly
161,Pantanal,24.066927145199447,4.199548034896837,0.2188025654173733,40.37445370991698,227,11,0.03293381418360741,Low,1,Medium,Yes,1992,Quarterly
162,Atlantic,14.080472275804771,4.046816030644893,0.22189750447475742,55.155111991327146,329,45,0.6183168711550598,Moderate,0,Low,Yes,2012,Yearly
163,Amazon,106.45833243248673,2.1544279367028962,0.4583452926853002,87.92427530212025,82,40,0.6257915043249304,Strict,1,Low,Yes,2007,Monthly
164,Pantanal,45.04936947840595,4.687295784769821,0.07598415806552516,85.95255565986503,487,38,0.25567860183333724,Strict,2,Low,No,1999,Quarterly
165,Amazon,51.128176221785814,0.40731088730919485,0.6530615822448217,91.4778507157705,332,15,0.44980555147893064,Strict,0,High,No,2021,Yearly
166,Amazon,28.343599197560113,0.7140338248396831,0.4966012494525649,87.97139870581478,372,13,0.4188490598635122,Moderate,1,Medium,No,2002,Yearly
167,Amazon,21.98876206305094,1.3089339623565088,0.4192628529721697,46.41095080402276,488,5,0.49294683381652593,Low,1,High,No,2008,Quarterly
168,Pantanal,76.77424889561955,3.244304058428394,0.4902781256169487,67.37863171309472,190,46,0.19951243414199082,Low,0,Low,Yes,2021,Quarterly
169,Amazon,110.48963836401971,0.9175919317542858,0.27186080365362786,83.57616219913766,19,29,0.8127391950018664,Moderate,1,Low,No,2002,Quarterly
170,Pantanal,148.68519769262772,1.746395373417969,0.2135472181060203,87.12892319472903,60,44,0.2881798705655072,Moderate,0,Medium,Yes,1998,Monthly
171,Amazon,54.22711590244696,0.9683630861389267,0.06854474298274771,52.14051900093419,169,25,0.3267185813593404,Strict,0,Medium,Yes,2001,Yearly
172,Atlantic,101.25660949767662,4.018360242329339,0.6254840169663377,61.087377536272854,202,19,0.6506742357866077,Low,2,Medium,Yes,1995,Quarterly
173,Pantanal,21.829584230795636,4.555006286121485,0.49407235941942385,43.253481633613255,55,4,0.9815379104773226,Strict,0,Low,Yes,2009,Monthly
174,Atlantic,85.57309517435603,4.26701131065267,0.7110591160613744,75.82666987628822,209,14,0.20440871577096398,Moderate,3,Low,Yes,2009,Quarterly
175,Cerrado,80.12195329036533,0.23387038470050667,0.8943825525157232,73.7488436660166,112,30,0.35788946851956527,Low,2,Low,Yes,1997,Monthly
176,Atlantic,9.64837792308613,1.654300858766778,0.9930370163937596,67.23125535740644,147,17,0.3742770318125411,Moderate,1,Medium,Yes,1998,Monthly
177,Atlantic,75.03303367825883,3.224153872085462,0.22744751637974703,70.18510692863273,353,12,0.5292000578338822,Low,1,High,Yes,1993,Quarterly
178,Amazon,76.83784659284784,0.10339968832614907,0.16794886366806672,91.89224126660673,245,42,0.8350807507460474,Moderate,2,High,Yes,2010,Quarterly
179,Pantanal,58.94278638557916,3.757159399230196,0.9121068403608966,85.60414863488019,348,10,0.7255772249352826,Strict,0,Low,No,1997,Monthly
180,Pantanal,88.1642466652734,4.35703771331785,0.4015886126077127,29.985542989320912,199,43,0.2054145797914393,Low,2,Low,Yes,2010,Monthly
181,Pantanal,11.606999381506764,0.4801468363651008,0.8034381183993192,71.41922137534236,126,11,0.7127400363879719,Low,1,High,No,2015,Quarterly
182,Amazon,127.44472018104597,2.212986740552031,0.13533008238371003,32.92741809047614,80,18,0.12605721747650933,Low,0,High,No,1995,Monthly
183,Cerrado,80.47431501011953,1.5838262273762918,0.29483720328383667,31.871707272517583,466,18,0.19178299659806608,Moderate,0,Low,No,1994,Yearly
184,Atlantic,9.661664295260337,4.740002812512031,0.011070249482068029,55.93839520383107,319,0,0.3937633927982046,Strict,2,Medium,Yes,2015,Monthly
185,Atlantic,147.64636499369,1.6912000727223022,0.989882737782307,58.84373912724711,489,13,0.3447932418217122,Strict,2,Low,No,2016,Yearly
