Household_ID,Region,Income_Level,Household_Size,Food_Spend_%,Food_Shortage_Days,Child_Malnutrition,Access_Markets,Govt_Assistance,Employment_Status,Water_Access,Crop_Dependence,Seasonal_Food_Security,Food_Diversity_Score,Education_Level
39,East,Low,5,85.48442529843038,7,Yes,Yes,No,Employed,No,Medium,Yes,5.588693365023462,Primary
40,East,High,1,84.3480142546934,2,Yes,No,Yes,Unemployed,Yes,High,No,3.776437691427949,None
41,North,Low,4,27.62388734537933,8,No,Yes,No,Unemployed,No,High,No,4.804314512454251,Tertiary
42,West,Medium,3,84.48790575247435,14,No,Yes,No,Unemployed,Yes,Medium,No,9.236244942616114,None
43,South,Medium,2,68.92970315040492,6,Yes,No,Yes,Employed,Yes,Low,Yes,9.24945069824191,None
44,West,High,7,11.512058186513396,2,No,Yes,Yes,Unemployed,No,Medium,Yes,9.929610331355752,Tertiary
45,West,High,5,29.187451899067067,3,No,Yes,No,Employed,Yes,High,No,5.375110597759012,None
46,South,High,5,43.03841163771571,5,Yes,No,No,Unemployed,No,High,No,2.512349282638169,None
47,South,Low,7,56.62579644046038,8,Yes,No,No,Unemployed,Yes,High,No,9.0012397485559,None
48,West,Low,7,66.10637843909512,5,No,Yes,No,Employed,Yes,Low,No,6.3715895898634916,None
49,South,High,7,26.816831516551947,1,Yes,No,Yes,Employed,Yes,Low,No,7.7294807617366335,Primary
50,East,Low,2,76.93604114189512,4,No,Yes,Yes,Unemployed,No,Low,No,2.463347733827274,None
51,South,Low,7,77.65722591113237,7,No,No,No,Unemployed,Yes,Medium,Yes,3.8772835252013764,Tertiary
52,South,Medium,5,60.79990554084618,12,No,No,No,Employed,Yes,High,No,3.476962208771417,None
53,East,Medium,7,83.68751284125587,1,No,Yes,Yes,Employed,Yes,Medium,Yes,6.037806030006282,Tertiary
54,East,Medium,1,75.03859415177503,6,No,Yes,Yes,Unemployed,Yes,Medium,No,9.974577363992289,Tertiary
55,East,High,6,27.72989274348327,2,Yes,Yes,Yes,Employed,Yes,Low,Yes,6.511138260564385,Primary
56,South,Medium,6,73.89414930482884,1,Yes,Yes,Yes,Employed,No,Medium,Yes,6.155773538005719,Primary
57,East,Medium,3,86.2561663002484,12,No,No,No,Employed,No,Low,Yes,7.831743776964544,None
58,East,Low,5,21.008515761474477,5,No,Yes,No,Employed,Yes,Low,No,3.959336630699577,None
59,North,Medium,2,88.29583078328233,9,Yes,Yes,No,Employed,Yes,High,Yes,3.278721641262769,Secondary
60,North,Low,7,11.99942374160722,3,Yes,Yes,No,Employed,No,High,Yes,8.542397526860926,None
61,South,Medium,2,51.773379581901786,4,Yes,No,Yes,Employed,No,Medium,Yes,9.644964049420205,Secondary
62,East,High,3,71.91145111827873,3,Yes,Yes,No,Unemployed,Yes,Medium,Yes,4.792666209904253,Secondary
63,South,High,1,73.23504820370034,1,No,No,Yes,Unemployed,Yes,High,No,1.3713804495606576,Primary
64,North,Medium,3,68.77380553170143,4,No,Yes,No,Employed,No,Medium,Yes,2.612446497647444,Tertiary
65,North,Medium,5,52.34810982025295,6,Yes,No,Yes,Employed,No,High,Yes,8.712831931493515,Secondary
66,East,Medium,6,62.077145765631634,5,No,No,No,Employed,No,High,Yes,2.0948027949160135,None
67,South,High,1,65.9945748522491,4,No,No,No,Employed,No,Low,Yes,7.867055966412749,Secondary
68,North,Low,1,49.56313793711165,6,Yes,No,No,Employed,No,High,Yes,6.582204595095642,Primary
69,West,Low,2,57.654798010771,4,No,No,Yes,Employed,No,High,No,7.54059747305324,Secondary
70,East,Medium,1,77.70944427660585,2,No,Yes,No,Unemployed,Yes,Low,Yes,3.3093149339475825,Secondary
71,South,High,5,35.030321691666174,7,No,No,No,Employed,No,Low,No,1.164969441518087,Secondary
72,West,Low,7,51.856506157490585,3,Yes,No,No,Employed,No,Low,No,1.357789943259113,Secondary
73,East,Medium,5,10.67837768204063,3,Yes,No,Yes,Employed,No,Low,Yes,7.523647132724208,Secondary
74,East,High,7,64.99491198214345,4,No,Yes,Yes,Employed,Yes,High,No,6.520576898698044,Secondary
75,North,High,5,25.630837169187338,4,Yes,Yes,No,Employed,Yes,High,No,8.564078217621026,Secondary
76,South,Low,6,48.480100297101515,5,Yes,No,Yes,Employed,Yes,High,Yes,4.59322604460082,Primary
77,North,High,4,26.816417302436744,1,No,Yes,No,Employed,Yes,High,Yes,5.999962140935465,None
78,West,Medium,1,11.882697166279383,1,Yes,Yes,Yes,Employed,No,High,Yes,8.051551449103972,Primary
79,West,Medium,1,48.65764413584132,5,Yes,Yes,Yes,Employed,Yes,High,No,5.469855326513587,Secondary
80,West,Low,5,43.98668852885656,2,No,Yes,Yes,Unemployed,No,Low,Yes,9.940136704070913,Secondary
81,West,High,7,44.01196108195045,2,No,Yes,No,Employed,Yes,High,No,7.686025462747939,Tertiary
82,West,Low,2,26.704492794309623,7,Yes,Yes,No,Unemployed,No,Low,Yes,7.149793963501689,Primary
83,South,Low,6,85.77636717985433,2,Yes,Yes,No,Employed,Yes,Low,Yes,8.213789693395203,Secondary
84,South,High,1,10.28057214485556,5,No,No,No,Employed,Yes,High,No,7.994711797637417,Tertiary
85,East,Low,4,81.32363599978709,5,No,Yes,No,Unemployed,Yes,Low,Yes,2.9772572357788207,Primary
86,East,High,1,68.95215385115857,6,No,No,Yes,Unemployed,Yes,High,No,2.893455490088666,Secondary
87,South,Medium,3,23.76576268266172,6,Yes,No,Yes,Unemployed,Yes,Medium,No,6.454668383321187,Tertiary
88,East,Low,4,47.77535890428436,3,Yes,Yes,Yes,Employed,Yes,Low,Yes,4.924433857992385,Tertiary
89,North,High,2,89.1080065206618,6,No,Yes,No,Employed,No,Medium,No,8.844189438783072,Secondary
90,South,High,4,61.495858958744584,9,No,Yes,No,Employed,Yes,Low,Yes,3.610920817498846,None
91,North,High,4,20.1901379054934,3,Yes,Yes,No,Employed,No,High,Yes,3.977735018838535,Secondary
92,West,Low,1,46.61137910851455,4,Yes,No,No,Unemployed,Yes,High,Yes,2.4968237362723253,Tertiary
93,West,Medium,4,47.45624772582499,3,No,Yes,Yes,Unemployed,No,High,No,9.835677727439023,None
94,East,Low,5,74.18106663064867,4,Yes,No,No,Unemployed,No,High,No,2.0444187967939946,None
95,South,Medium,6,83.29303462609244,9,Yes,Yes,Yes,Unemployed,Yes,Low,No,9.846099930668455,Primary
96,West,Low,4,16.579323463098767,3,Yes,Yes,No,Employed,No,High,Yes,7.357533975755948,None
97,East,Low,1,35.12298295622658,3,No,No,No,Employed,No,Medium,Yes,1.8023624918552539,Tertiary
98,North,Low,5,33.875050150809194,4,No,No,Yes,Unemployed,No,Low,Yes,2.3681384993525407,Tertiary
99,South,Medium,2,89.68384999352146,6,Yes,No,No,Unemployed,No,Medium,No,3.9427405203530514,Primary
100,East,High,3,54.73816933531197,3,No,Yes,Yes,Unemployed,Yes,High,No,3.3431145908260427,Tertiary
101,West,Low,4,80.38651968959876,5,No,No,Yes,Unemployed,No,High,Yes,9.758154734890269,Tertiary
102,North,Low,5,44.08262795558591,2,No,No,Yes,Unemployed,No,High,Yes,6.520078715079536,Tertiary
103,North,Medium,5,67.81785203271491,5,Yes,No,Yes,Employed,Yes,Low,No,1.6695095505530708,Primary
104,East,Low,2,32.926851384331684,4,No,Yes,Yes,Employed,No,Medium,No,5.728641559221234,None
105,South,High,2,82.94288187913867,11,No,No,Yes,Employed,Yes,High,No,9.074258135895873,Primary
106,East,High,3,46.411699278922704,5,Yes,No,No,Employed,Yes,High,No,4.745636378242356,None
107,West,Medium,3,74.29803978528697,7,Yes,Yes,No,Unemployed,Yes,High,Yes,6.995175010116554,Tertiary
108,South,Medium,1,30.465350667405183,5,No,No,No,Unemployed,Yes,Low,No,7.958733225960502,Secondary
109,West,High,3,65.48834735375033,2,No,No,No,Employed,Yes,Low,No,2.6652612237136917,Primary
110,North,High,3,42.412672352002865,6,No,No,No,Unemployed,No,High,Yes,8.699506668985116,None
111,North,High,7,12.515153837963764,5,Yes,No,Yes,Employed,No,Medium,Yes,5.0393904429509675,None
112,West,Medium,5,43.04066030072508,2,No,Yes,No,Unemployed,No,High,Yes,1.5101973759863516,Tertiary
113,West,High,4,54.001731340433636,5,Yes,No,No,Employed,No,Low,Yes,8.910130481621827,None
114,North,High,7,22.140929113054018,4,Yes,Yes,No,Unemployed,Yes,High,No,6.079178895867638,Tertiary
115,East,High,7,24.713048415409204,4,Yes,No,No,Unemployed,No,Medium,Yes,2.784895760671026,Tertiary
116,East,Low,7,47.189023865852555,5,No,Yes,No,Employed,No,Low,No,3.8570502075224704,Tertiary
117,East,Medium,4,37.418376994672535,4,No,Yes,Yes,Unemployed,Yes,Medium,No,6.12435667948033,None
118,West,Medium,6,45.25924304026901,6,No,Yes,No,Employed,Yes,Medium,No,4.367566321884519,Secondary
119,West,Medium,3,46.866159145817825,4,Yes,Yes,Yes,Employed,Yes,High,Yes,3.1004384173940673,Primary
120,North,Medium,7,21.20608349622045,6,Yes,No,Yes,Unemployed,No,Low,Yes,5.3137935353354075,None
121,South,Low,6,24.49556602160918,5,No,Yes,No,Employed,Yes,Low,No,2.665411549316948,Primary
122,East,Low,6,77.85323147835955,3,No,Yes,No,Unemployed,No,Low,No,3.2084125645815393,None
123,East,Low,1,23.017495144838726,3,Yes,No,No,Unemployed,No,Medium,Yes,8.440606447730893,Tertiary
124,East,Low,1,63.27314664066087,6,No,Yes,No,Unemployed,Yes,Low,Yes,3.056870986550445,Primary
125,North,Low,4,43.48224374142337,4,No,No,No,Unemployed,No,Medium,No,7.258307060806407,Tertiary
126,South,Medium,2,87.45893487757127,5,Yes,Yes,Yes,Unemployed,No,Low,Yes,3.254228318862934,None
127,South,Medium,5,15.288348951059003,3,Yes,No,Yes,Employed,No,High,Yes,2.9115853013096054,None
128,South,Medium,3,76.43110928246095,6,No,No,Yes,Unemployed,No,Medium,No,3.260400004358322,Secondary
129,East,Low,5,49.315938488209724,8,Yes,Yes,No,Employed,No,High,Yes,5.214681705615975,Primary
130,West,High,7,10.428189669135088,1,Yes,No,No,Employed,Yes,High,No,2.3165170706861993,None
131,East,Medium,3,31.0928175151643,6,No,Yes,No,Unemployed,No,High,Yes,1.9595128473600738,None
132,South,Medium,3,42.61574820394156,5,Yes,Yes,No,Employed,No,High,No,7.810665917765747,Secondary
133,North,High,6,35.13558027591401,5,No,Yes,No,Unemployed,No,Medium,No,1.2097150410049315,Secondary
134,South,Low,4,38.995957121114664,6,Yes,No,No,Employed,Yes,Low,Yes,4.469357626867241,Secondary
135,East,High,5,83.3337527309744,9,No,No,No,Employed,No,Medium,Yes,4.5643097308170235,Tertiary
136,West,High,5,38.87472259138622,6,Yes,Yes,Yes,Employed,Yes,High,Yes,9.037372089924139,Secondary
137,South,Medium,2,43.506350352218625,7,Yes,No,Yes,Employed,Yes,High,No,7.97041990985725,Secondary
138,West,Medium,2,70.89052428624902,3,Yes,No,No,Unemployed,No,Low,Yes,5.596090576545105,Primary
139,South,Low,5,73.50668525987001,5,No,Yes,Yes,Employed,Yes,High,No,5.318316882419481,Tertiary
140,West,High,2,16.727172142935565,4,Yes,No,Yes,Unemployed,Yes,Medium,No,6.0904116969033995,Tertiary
141,West,Low,2,66.32560276536034,7,Yes,No,Yes,Employed,Yes,Medium,Yes,4.220450429741587,None
142,South,High,3,48.60575629414206,2,Yes,Yes,No,Unemployed,Yes,Medium,No,7.306994698862958,Primary
143,North,Medium,4,20.70831145901243,4,Yes,Yes,No,Employed,No,Medium,No,7.174640541424693,Secondary
144,East,High,7,31.176845115750744,8,No,No,Yes,Unemployed,Yes,High,No,6.171891894461947,Tertiary
145,East,Low,3,13.602839784521494,1,Yes,No,Yes,Unemployed,Yes,Low,Yes,1.5192341627039878,None
146,South,High,6,38.818975104946816,4,Yes,No,Yes,Unemployed,No,Medium,Yes,2.1415389096720476,Primary
147,West,Low,2,30.432515226721932,12,Yes,Yes,Yes,Unemployed,Yes,High,Yes,1.3534864859013276,Secondary
148,East,High,3,40.56827179040141,4,Yes,No,Yes,Unemployed,Yes,Medium,Yes,7.466641602120264,Primary
149,West,Medium,3,56.427243802460545,8,No,No,Yes,Unemployed,Yes,Low,Yes,5.2983971211954115,Primary
150,North,Medium,1,68.5871641629296,6,Yes,No,No,Employed,Yes,High,Yes,9.594830525473425,Secondary
151,South,Low,3,58.42815892476238,9,No,Yes,Yes,Employed,Yes,Medium,Yes,9.570955308003498,None
152,North,Medium,3,64.27018418079567,7,No,No,Yes,Unemployed,No,Low,Yes,8.183537366142467,Secondary
153,West,High,4,79.25112964950347,5,No,No,No,Unemployed,No,High,No,4.987440243483304,Tertiary
154,West,High,5,79.90595547692087,4,Yes,Yes,No,Employed,Yes,High,No,3.847153594992242,Secondary
155,South,Medium,1,78.85754786873392,8,No,No,Yes,Unemployed,Yes,Medium,Yes,2.80876796211204,Primary
156,West,Low,1,22.253513238362128,2,Yes,No,Yes,Employed,No,High,No,3.092454280028469,None
157,South,High,1,30.085530687491627,3,No,Yes,Yes,Unemployed,No,High,No,9.91286611322233,Secondary
158,South,Low,6,50.186024394205766,2,Yes,No,Yes,Unemployed,Yes,Medium,Yes,5.773138947606665,Tertiary
159,North,High,1,38.69914352128216,4,Yes,No,Yes,Employed,No,Medium,Yes,1.110281346648061,None
160,East,Low,4,20.533517462397057,9,Yes,Yes,Yes,Unemployed,No,High,Yes,1.398638830408311,Primary
161,East,Low,5,33.02001876845211,5,No,No,Yes,Employed,No,Medium,Yes,5.128895945104256,Secondary
162,West,High,6,88.03430093325113,4,Yes,No,No,Unemployed,Yes,Medium,Yes,4.991336077128425,None
163,East,High,4,37.754140439722896,5,No,No,Yes,Unemployed,Yes,High,Yes,4.650028525620838,None
164,West,Low,1,43.513125463676914,6,Yes,No,No,Unemployed,Yes,Medium,Yes,8.41243076963475,Primary
165,East,High,5,10.512113748583758,4,Yes,No,Yes,Employed,No,Low,No,7.32839817967822,None
166,North,Medium,4,67.55319038321589,6,Yes,No,Yes,Unemployed,Yes,High,Yes,1.9667543396995972,None
167,East,High,5,43.08400524363038,6,No,Yes,Yes,Employed,No,High,No,4.264110065082194,Tertiary
168,West,Low,6,18.251205031612887,7,No,Yes,No,Employed,Yes,Low,No,6.370119419120192,None
169,West,High,4,87.48453906437375,7,Yes,Yes,No,Employed,Yes,Medium,Yes,4.442399911932636,Secondary
170,East,High,7,72.19465700680695,3,Yes,Yes,No,Employed,No,Medium,Yes,2.874747980388413,Tertiary
171,South,Low,5,68.09200715461814,5,Yes,No,No,Unemployed,Yes,Medium,No,6.652476618549917,Tertiary
172,North,High,4,86.62978678733356,3,Yes,Yes,Yes,Employed,No,High,Yes,6.420242528275893,Secondary
173,South,Low,1,42.598406761371024,5,Yes,Yes,Yes,Employed,Yes,Medium,No,9.77148496745773,Tertiary
174,East,Low,1,67.48268322339587,5,Yes,Yes,No,Unemployed,Yes,Medium,No,6.049632888690091,Primary
175,South,Low,1,26.496631790836087,4,No,Yes,Yes,Unemployed,No,High,No,8.868678276215078,Primary
176,East,Low,6,65.7696437961696,4,Yes,No,Yes,Unemployed,No,High,No,9.542765767275156,Secondary
177,West,Medium,7,11.126327375008227,4,No,No,No,Unemployed,Yes,Medium,No,4.913055772908965,None
178,South,Medium,4,20.104430435249128,5,No,No,No,Employed,No,Low,Yes,1.4760433226761214,Tertiary
179,North,Low,5,44.02071348822788,7,Yes,Yes,Yes,Employed,Yes,High,No,2.291449578716887,Secondary
180,South,High,5,10.967415584480653,2,Yes,Yes,Yes,Employed,Yes,Low,No,5.535731777757844,Tertiary
181,West,Medium,2,46.95726843603354,4,No,Yes,No,Unemployed,Yes,Low,Yes,9.036622032743933,Primary
182,West,Low,3,51.823339925200315,7,No,Yes,Yes,Unemployed,No,High,No,6.887188625341973,Primary
183,West,Medium,7,59.72852780696656,2,No,No,Yes,Employed,No,Low,Yes,2.8133354496497622,Secondary
184,South,Low,7,18.03093415948931,5,Yes,No,No,Unemployed,Yes,Medium,Yes,7.309399147586164,Tertiary
185,West,Medium,1,24.480953050176986,10,Yes,Yes,Yes,Employed,Yes,Low,No,9.047973923230584,Primary
186,West,Low,1,59.06266965737561,9,No,No,No,Unemployed,No,Medium,Yes,1.2720300356062104,Tertiary
187,South,Medium,1,62.655016997011145,6,No,Yes,Yes,Unemployed,Yes,High,No,3.18530909986171,Primary
188,South,Medium,2,12.072018256822101,3,Yes,Yes,Yes,Unemployed,Yes,Medium,No,2.378627421407158,Primary
189,East,High,2,53.22938896920306,10,No,No,Yes,Employed,No,High,No,8.056927010318102,Primary
190,South,Medium,2,72.7985385599066,1,Yes,No,Yes,Unemployed,Yes,Low,No,9.023296681648857,Primary
191,West,High,1,15.528070222831527,11,Yes,Yes,Yes,Unemployed,No,High,No,5.991017288960651,None
192,North,Medium,5,43.05382921972158,2,No,Yes,Yes,Employed,No,Medium,Yes,8.633816810557748,Secondary
193,West,Low,1,36.120901842408145,6,Yes,No,Yes,Employed,No,High,Yes,6.912434466409485,Tertiary
194,West,High,7,83.09325002816134,5,Yes,No,Yes,Employed,Yes,Low,No,6.910295874009096,Primary
195,West,Medium,2,24.864191456516423,9,No,Yes,Yes,Unemployed,No,Low,No,6.217373516914979,Primary
196,South,High,2,35.46883305155841,9,Yes,Yes,Yes,Unemployed,Yes,Medium,No,1.4501683075300433,Primary
197,North,Low,3,81.87557959930425,7,Yes,No,Yes,Employed,No,Medium,No,9.432802946897187,Secondary
198,West,Low,4,36.45226448479782,9,No,No,No,Unemployed,No,High,Yes,4.2019428415469235,Tertiary
199,South,Low,3,52.50779524684755,7,Yes,Yes,No,Employed,Yes,Medium,No,8.22319934648498,Secondary
200,East,Low,3,12.64282697847035,4,Yes,No,Yes,Unemployed,No,High,No,8.289861134259136,Secondary
201,North,Low,1,88.79219489400289,2,Yes,Yes,No,Unemployed,No,Medium,Yes,9.691851110198655,Primary
202,North,High,4,75.99573662969516,3,No,No,Yes,Unemployed,No,Low,Yes,3.940296751923192,Tertiary
203,South,High,7,60.752075579734104,5,Yes,Yes,Yes,Employed,Yes,Low,Yes,9.976594605550881,Primary
204,East,Medium,4,14.860421847198424,4,No,No,Yes,Employed,Yes,Medium,Yes,3.705170329826778,Secondary
205,West,Medium,1,15.989596909822454,2,Yes,Yes,Yes,Unemployed,Yes,High,Yes,5.062331484141174,None
206,East,Low,5,53.597890463255176,2,No,No,No,Employed,No,Low,No,7.356250295804175,None
207,North,Low,6,32.80515489627474,3,No,Yes,Yes,Employed,No,High,No,2.3948976517135074,Secondary
208,South,High,7,59.823155800253865,1,Yes,No,No,Unemployed,Yes,Low,No,3.3973586601712733,Primary
209,East,Low,1,57.85539854782179,4,No,No,Yes,Unemployed,No,Medium,No,7.55302156627769,Primary
210,West,Low,5,77.09211186234383,4,Yes,No,Yes,Employed,No,Medium,Yes,9.769457393170756,Tertiary
211,East,Low,7,32.51016485701139,7,Yes,No,Yes,Employed,Yes,Medium,Yes,7.595189010551097,Tertiary
212,East,Medium,5,56.229081959279405,6,No,No,Yes,Unemployed,No,Low,Yes,8.760689006643855,None
213,South,High,4,72.18906550710088,1,Yes,No,Yes,Unemployed,No,Medium,Yes,1.337380771798765,Primary
214,South,Medium,1,49.2618389057861,4,No,Yes,No,Unemployed,Yes,Medium,Yes,6.193233184786939,Secondary
215,North,Low,1,76.45149319511556,5,Yes,Yes,No,Unemployed,No,Medium,No,9.226826794714535,Primary
216,South,Low,4,20.502096125901836,5,No,Yes,No,Unemployed,No,High,No,7.141573373183493,Primary
217,East,Medium,3,68.71182121177146,4,No,No,No,Employed,No,Medium,No,7.088160622208147,Secondary
218,West,Medium,1,85.43856732167828,4,Yes,Yes,No,Employed,No,High,Yes,2.827361845318456,None
219,North,High,6,36.55066567948529,9,Yes,No,No,Employed,No,High,No,8.75027049919974,Secondary
220,South,Low,7,39.306915392957194,9,Yes,Yes,Yes,Employed,No,Low,No,8.785408187067269,Primary
221,East,Low,6,16.683974175268375,4,Yes,Yes,No,Employed,No,Medium,No,6.526063341969382,Secondary
222,East,Medium,2,61.31942236597694,7,No,No,Yes,Unemployed,No,Low,Yes,4.839563854024583,Tertiary
223,North,High,2,54.19605805078962,2,Yes,No,No,Unemployed,No,Medium,Yes,8.418461181999195,Tertiary
224,North,High,1,13.227660698589423,5,No,No,No,Unemployed,No,High,Yes,5.184961145891891,Tertiary
225,South,Low,5,70.17696215770493,6,No,No,Yes,Unemployed,No,Low,No,8.403531730220415,Tertiary
226,South,Low,6,76.342759659602,4,Yes,No,No,Employed,Yes,High,No,5.364241724439768,Secondary
227,West,Medium,6,82.56956833126033,1,Yes,No,Yes,Employed,No,Medium,Yes,6.2181455377619015,None
228,North,Low,4,53.65872689365137,5,No,Yes,Yes,Employed,Yes,Low,No,7.732198318534488,None
229,North,Medium,7,46.20640279214059,2,No,No,Yes,Unemployed,No,Medium,No,3.3849422733217907,Tertiary
230,East,Low,6,80.09097236256619,5,Yes,No,No,Employed,No,Low,No,3.2216070487410726,Primary
231,West,Low,5,41.89574552545112,7,Yes,Yes,No,Unemployed,No,Medium,No,7.010571573866718,Secondary
232,South,Low,2,62.43545001876494,3,No,Yes,Yes,Unemployed,Yes,High,Yes,9.585219514679908,Primary
233,West,High,2,59.22898051207411,4,Yes,Yes,Yes,Employed,No,High,No,5.014305687166418,Tertiary
234,West,Low,7,39.77288798548095,5,No,Yes,No,Unemployed,Yes,Low,Yes,9.0838210499702,Secondary
235,East,Low,4,16.95119500528385,6,No,Yes,Yes,Employed,No,Medium,Yes,5.6636839645934325,Tertiary
236,North,High,2,11.713243093654855,6,No,Yes,Yes,Employed,Yes,Medium,No,9.76538104063858,Secondary
237,North,High,7,44.25901924283097,5,Yes,Yes,No,Unemployed,No,High,Yes,8.12842718904626,Tertiary
238,North,Low,3,48.496125985868545,11,No,Yes,No,Unemployed,Yes,Low,Yes,8.73601780066936,None
239,South,High,2,75.81426145519136,4,Yes,Yes,No,Unemployed,Yes,Medium,No,7.116436247749107,Secondary
240,North,High,6,43.15293199291769,2,Yes,No,Yes,Employed,Yes,Medium,Yes,8.816433181002392,None
241,West,High,5,32.49278997867754,6,No,No,No,Employed,No,High,No,6.335184505000591,Tertiary
242,West,High,5,46.96771744601226,2,No,No,Yes,Employed,No,Medium,No,6.106030889933195,Secondary
243,North,Medium,3,29.039238433921692,10,Yes,No,No,Employed,Yes,High,No,8.863403240371287,Primary
244,West,Low,7,17.308848889196522,2,Yes,Yes,Yes,Unemployed,Yes,Low,No,1.1355955370445119,Primary
245,South,Medium,5,19.04344269488858,6,Yes,Yes,No,Unemployed,Yes,Medium,No,5.309010127486419,Secondary
246,North,Low,7,35.53235679175421,3,Yes,Yes,Yes,Unemployed,Yes,Medium,Yes,8.830665227773093,None
247,South,High,5,11.014113404679255,5,No,Yes,No,Employed,No,High,Yes,2.7653457493208857,Tertiary
248,North,Medium,7,27.616262934499048,4,Yes,No,Yes,Employed,No,High,Yes,9.622083893325042,None
249,South,High,5,73.00185127458832,5,Yes,Yes,Yes,Employed,No,Medium,Yes,7.665415740626062,None
250,South,High,1,28.76937539442487,5,Yes,No,No,Unemployed,No,High,No,7.861802347925825,Secondary
251,South,High,3,18.85836088316127,6,No,No,No,Unemployed,Yes,High,Yes,6.989285627326745,Primary
252,West,Low,7,85.92644479956313,2,Yes,No,Yes,Employed,No,Low,Yes,5.027269674366798,Tertiary
